hhid,id2,rule_name,detail
10 0107 133 2,3,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
10 0126 148 2,5,monetary_outlier_q6_01,"q6_01=300000.0 outside IQR bounds [-40000, 152000]"
10 0126 161 0,1,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
10 0137 204 1,1,monetary_outlier_q6_01,"q6_01=260000.0 outside IQR bounds [-40000, 152000]"
10 0144 033 4,3,monetary_outlier_q6_01,"q6_01=320000.0 outside IQR bounds [-40000, 152000]"
10 0144 060 0,3,monetary_outlier_q6_01,"q6_01=260000.0 outside IQR bounds [-40000, 152000]"
10 0144 070 9,3,monetary_outlier_q6_01,"q6_01=250000.0 outside IQR bounds [-40000, 152000]"
10 0144 123 2,1,monetary_outlier_q6_01,"q6_01=200000.0 outside IQR bounds [-40000, 152000]"
10 0174 129 8,2,monetary_outlier_q6_01,"q6_01=694000.0 outside IQR bounds [-40000, 152000]"
10 0225 153 8,2,monetary_outlier_q6_01,"q6_01=205000.0 outside IQR bounds [-40000, 152000]"
10 0225 200 7,2,monetary_outlier_q6_01,"q6_01=232000.0 outside IQR bounds [-40000, 152000]"
10 0227 212 7,2,monetary_outlier_q6_01,"q6_01=180000.0 outside IQR bounds [-40000, 152000]"
10 0227 213 6,1,monetary_outlier_q6_01,"q6_01=160000.0 outside IQR bounds [-40000, 152000]"
10 0227 222 1,1,monetary_outlier_q6_01,"q6_01=1050000.0 outside IQR bounds [-40000, 152000]"
10 0227 225 0,1,monetary_outlier_q6_01,"q6_01=1000000.0 outside IQR bounds [-40000, 152000]"
04 0391 072 9,1,monetary_outlier_q6_04a,"q6_04a=360000.0 outside IQR bounds [-41250, 76750]"
10 0076 667 7,1,monetary_outlier_q6_04a,"q6_04a=100000.0 outside IQR bounds [-41250, 76750]"
10 0137 204 1,1,monetary_outlier_q6_04a,"q6_04a=260000.0 outside IQR bounds [-41250, 76750]"
02 0034 042 8,6,monetary_outlier_q6_04b,"q6_04b=107000.0 outside IQR bounds [-24750, 45250]"
03 0275 052 0,1,monetary_outlier_q6_04b,"q6_04b=70000.0 outside IQR bounds [-24750, 45250]"
03 0286 019 5,1,monetary_outlier_q6_04b,"q6_04b=50000.0 outside IQR bounds [-24750, 45250]"
04 0121 028 9,4,monetary_outlier_q6_04b,"q6_04b=62000.0 outside IQR bounds [-24750, 45250]"
04 0181 071 1,2,monetary_outlier_q6_04b,"q6_04b=50000.0 outside IQR bounds [-24750, 45250]"
04 0584 595 2,1,monetary_outlier_q6_04b,"q6_04b=300000.0 outside IQR bounds [-24750, 45250]"
04 0584 623 1,6,monetary_outlier_q6_04b,"q6_04b=60000.0 outside IQR bounds [-24750, 45250]"
04 0697 074 3,1,monetary_outlier_q6_04b,"q6_04b=50000.0 outside IQR bounds [-24750, 45250]"
06 0064 015 6,1,monetary_outlier_q6_04b,"q6_04b=54000.0 outside IQR bounds [-24750, 45250]"
06 0167 214 5,1,monetary_outlier_q6_04b,"q6_04b=115000.0 outside IQR bounds [-24750, 45250]"
06 0393 059 2,3,monetary_outlier_q6_04b,"q6_04b=65000.0 outside IQR bounds [-24750, 45250]"
06 0443 095 1,3,monetary_outlier_q6_04b,"q6_04b=78000.0 outside IQR bounds [-24750, 45250]"
08 0004 101 8,2,monetary_outlier_q6_04b,"q6_04b=50000.0 outside IQR bounds [-24750, 45250]"
08 0006 167 8,3,monetary_outlier_q6_04b,"q6_04b=63000.0 outside IQR bounds [-24750, 45250]"
09 0048 093 2,2,monetary_outlier_q6_04b,"q6_04b=100000.0 outside IQR bounds [-24750, 45250]"
10 0011 069 3,1,monetary_outlier_q6_04b,"q6_04b=200000.0 outside IQR bounds [-24750, 45250]"
10 0015 118 7,1,monetary_outlier_q6_04b,"q6_04b=70000.0 outside IQR bounds [-24750, 45250]"
10 0137 202 5,1,monetary_outlier_q6_04b,"q6_04b=74000.0 outside IQR bounds [-24750, 45250]"
10 0225 111 8,3,monetary_outlier_q6_04b,"q6_04b=50000.0 outside IQR bounds [-24750, 45250]"
02 0084 020 4,3,monetary_outlier_q6_04c,"q6_04c=28000.0 outside IQR bounds [-10000, 22000]"
02 0094 142 0,2,monetary_outlier_q6_04c,"q6_04c=50000.0 outside IQR bounds [-10000, 22000]"
03 0334 017 0,1,monetary_outlier_q6_04c,"q6_04c=100000.0 outside IQR bounds [-10000, 22000]"
04 0207 276 8,3,monetary_outlier_q6_04c,"q6_04c=100000.0 outside IQR bounds [-10000, 22000]"
04 0291 034 7,2,monetary_outlier_q6_04c,"q6_04c=34000.0 outside IQR bounds [-10000, 22000]"
04 0481 002 6,1,monetary_outlier_q6_04c,"q6_04c=40000.0 outside IQR bounds [-10000, 22000]"
